Ticker symbol;Security;SEC filings;GICS Sector;GICS Code;GICS Sub Industry;GICS Sub-Code;Address of Headquarters;Date first added;CIK
CMA;Comerica Inc.;reports;Financials;40;Diversified Banks;40101010;Dallas, Texas;;28412
CAG;Conagra Brands;reports;Consumer Staples;30;Packaged Foods & Meats;30202030;Chicago, Illinois;31.08.1983;23217
CXO;Concho Resources;reports;Energy;10;Oil & Gas Exploration & Production;10102020;Midland, Texas;22.02.2016;1358071
COP;ConocoPhillips;reports;Energy;10;Oil & Gas Exploration & Production;10102020;Houston, Texas;;1163165
ED;Consolidated Edison;reports;Utilities;55;Electric Utilities;55101010;New York, New York;;1047862
STZ;Constellation Brands;reports;Consumer Staples;30;Distillers & Vintners;30201020;Victor, New York;05.07.2005;16918
COO;The Cooper Companies;reports;Health Care;35;Health Care Supplies;35101020;Pleasanton, California;23.09.2016;711404
GLW;Corning Inc.;reports;Information Technology;45;Electronic Components;45203015;Corning, New York;;24741
COST;Costco Wholesale Corp.;reports;Consumer Staples;30;Hypermarkets & Super Centers;30101040;Issaquah, Washington;01.10.1993;909832
COTY;Coty, Inc;reports;Consumer Staples;30;Personal Products;30302010;New York, New York;03.10.2016;1024305
CCI;Crown Castle International Corp.;reports;Real Estate;60;Specialized REITs;60101080;Houston, Texas;14.03.2012;1051470
CSRA;CSRA Inc.;reports;Information Technology;45;IT Consulting & Other Services;45102010;Falls Church, Virginia;01.12.2015;1646383
CSX;CSX Corp.;reports;Industrials;20;Railroads;20304010;Jacksonville, Florida;30.09.1967;277948
CMI;Cummins Inc.;reports;Industrials;20;Industrial Machinery;20106020;Columbus, Indiana;31.03.1965;26172
CVS;CVS Health;reports;Consumer Staples;30;Drug Retail;30101010;Woonsocket, Rhode Island;;64803
DHI;D. R. Horton;reports;Consumer Discretionary;25;Homebuilding;25201030;Fort Worth, Texas;;882184
DHR;Danaher Corp.;reports;Health Care;35;Health Care Equipment;35101010;Washington, D.C.;;313616
DRI;Darden Restaurants;reports;Consumer Discretionary;25;Restaurants;25301040;Orlando, Florida;;940944
DVA;DaVita Inc.;reports;Health Care;35;Health Care Facilities;35102020;Denver, Colorado;31.07.2008;927066
DE;Deere & Co.;reports;Industrials;20;Agricultural & Farm Machinery;20106015;Moline, Illinois;;315189
DAL;Delta Air Lines Inc.;reports;Industrials;20;Airlines;20302010;Atlanta, Georgia;11.09.2013;27904
XRAY;Dentsply Sirona;reports;Health Care;35;Health Care Supplies;35101020;York, Pennsylvania;14.11.2008;818479
DVN;Devon Energy Corp.;reports;Energy;10;Oil & Gas Exploration & Production;10102020;Oklahoma City, Oklahoma;30.08.2000;1090012
DLR;Digital Realty Trust Inc;reports;Real Estate;60;Specialized REITs;60101080;San Francisco, California;18.05.2016;1297996
DFS;Discover Financial Services;reports;Financials;40;Consumer Finance;40202010;Riverwoods, Illinois;02.07.2007;1393612
DISCA;Discovery Communications-A;reports;Consumer Discretionary;25;Cable & Satellite;25401025;Silver Spring, Maryland;01.03.2010;1437107
DISCK;Discovery Communications-C;reports;Consumer Discretionary;25;Cable & Satellite;25401025;Silver Spring, Maryland;07.08.2014;1437107
DISH;Dish Network;reports;Consumer Discretionary;25;Cable & Satellite;25401025;Meridian, Colorado;13.03.2017;1001082
DG;Dollar General;reports;Consumer Discretionary;25;General Merchandise Stores;25503020;Goodlettsville, Tennessee;03.12.2012;29534
DLTR;Dollar Tree;reports;Consumer Discretionary;25;General Merchandise Stores;25503020;Chesapeake, Virginia;19.12.2011;935703
D;Dominion Energy;reports;Utilities;55;Electric Utilities;55101010;Richmond, Virginia;;715957
DOV;Dover Corp.;reports;Industrials;20;Industrial Machinery;20106020;Downers Grove, Illinois;31.10.1985;29905
DWDP;DowDuPont;reports;Materials;15;Diversified Chemicals;15101020;Midland, Michigan;;1666700
DPS;Dr Pepper Snapple Group;reports;Consumer Staples;30;Soft Drinks;30201030;Plano, Texas;07.10.2008;1418135
DTE;DTE Energy Co.;reports;Utilities;55;Multi-Utilities;55103010;Detroit, Michigan;;936340
DRE;Duke Realty Corp;reports;Real Estate;60;Industrial REITs;60101020;Indianapolis, Indiana;26.07.2017;783280
DUK;Duke Energy;reports;Utilities;55;Electric Utilities;55101010;Charlotte, North Carolina;30.06.1976;1326160
DXC;DXC Technology;reports;Information Technology;45;IT Consulting & Other Services;45102010;Tysons Corner, Virginia;04.04.2017;1688568
ETFC;E*Trade;reports;Financials;40;Investment Banking & Brokerage;40203020;New York, New York;31.03.2004;1015780
EMN;Eastman Chemical;reports;Materials;15;Diversified Chemicals;15101020;Kingsport, Tennessee;01.01.1994;915389
ETN;Eaton Corporation;reports;Industrials;20;Electrical Components & Equipment;20104010;Dublin, Ireland;;1551182
EBAY;eBay Inc.;reports;Information Technology;45;Internet Software & Services;45101010;San Jose, California;;1065088
ECL;Ecolab Inc.;reports;Materials;15;Specialty Chemicals;15101050;St. Paul, Minnesota;31.01.1989;31462
EIX;Edison Int'l;reports;Utilities;55;Electric Utilities;55101010;Rosemead, California;;827052
EW;Edwards Lifesciences;reports;Health Care;35;Health Care Equipment;35101010;Irvine, California;01.04.2011;1099800
EA;Electronic Arts;reports;Information Technology;45;Home Entertainment Software;45103030;Redwood City, California;22.07.2002;712515
EMR;Emerson Electric Company;reports;Industrials;20;Electrical Components & Equipment;20104010;Ferguson, Missouri;31.03.1965;32604
ETR;Entergy Corp.;reports;Utilities;55;Electric Utilities;55101010;New Orleans, Louisiana;;65984
EVHC;Envision Healthcare;reports;Health Care;35;Health Care Services;35102015;Nashville, Tennessee;02.12.2016;895930
EOG;EOG Resources;reports;Energy;10;Oil & Gas Exploration & Production;10102020;Houston, Texas;02.11.2000;821189
EQT;EQT Corporation;reports;Energy;10;Oil & Gas Exploration & Production;10102020;Pittsburgh, Pennsylvania;19.12.2008;33213
EFX;Equifax Inc.;reports;Industrials;20;Research & Consulting Services;20202020;Atlanta, Georgia;19.06.1997;33185
EQIX;Equinix;reports;Real Estate;60;Specialized REITs;60101080;Redwood City, California;20.03.2015;1101239
EQR;Equity Residential;reports;Real Estate;60;Residential REITs;60101060;Chicago, Illinois;03.12.2001;906107
ESS;Essex Property Trust, Inc.;reports;Real Estate;60;Residential REITs;60101060;Palo Alto, California;02.04.2014;920522
EL;Estee Lauder Cos.;reports;Consumer Staples;30;Personal Products;30302010;New York, New York;05.01.2006;1001250
ES;Eversource Energy;reports;Utilities;55;Multi-Utilities;55103010;Springfield, Massachusetts;;72741
RE;Everest Re Group Ltd.;reports;Financials;40;Reinsurance;40301050;Hamilton, Bermuda;19.06.2017;1095073
EXC;Exelon Corp.;reports;Utilities;55;Multi-Utilities;55103010;Chicago, Illinois;;1109357
EXPE;Expedia Inc.;reports;Consumer Discretionary;25;Internet & Direct Marketing Retail;25502020;Bellevue, Washington;02.10.2007;1324424
EXPD;Expeditors International;reports;Industrials;20;Air Freight & Logistics;20301010;Seattle, Washington;10.10.2007;746515
ESRX;Express Scripts;reports;Health Care;35;Health Care Distributors;35102010;Cool Valley, Missouri;25.09.2003;1532063
